"index","file","seconds","timecode"
"1","scene-001.jpg","8.3","00:08.3"
"2","scene-002.jpg","18.333","00:18.3"
"3","scene-003.jpg","19.533","00:19.5"
"4","scene-004.jpg","22","00:22.0"
"5","scene-005.jpg","22.7","00:22.7"
"6","scene-006.jpg","23.133","00:23.1"
"7","scene-007.jpg","23.167","00:23.1"
"8","scene-008.jpg","24","00:24.0"
"9","scene-009.jpg","24.1","00:24.1"
"10","scene-010.jpg","25.1","00:25.1"
"11","scene-011.jpg","26.1","00:26.1"
"12","scene-012.jpg","26.167","00:26.1"
"13","scene-013.jpg","27.2","00:27.2"
"14","scene-014.jpg","27.3","00:27.3"
"15","scene-015.jpg","28","00:28.0"
"16","scene-016.jpg","28.1","00:28.1"
"17","scene-017.jpg","28.4","00:28.4"
"18","scene-018.jpg","30.1","00:30.1"
"19","scene-019.jpg","31.233","00:31.2"
"20","scene-020.jpg","32.7","00:32.7"
"21","scene-021.jpg","35.9","00:35.9"
"22","scene-022.jpg","36.1","00:36.1"
"23","scene-023.jpg","48.167","00:48.1"
"24","scene-024.jpg","49.5","00:49.5"
"25","scene-025.jpg","49.567","00:49.5"
"26","scene-026.jpg","62.333","01:02.3"
"27","scene-027.jpg","67.3","01:07.3"
"28","scene-028.jpg","70.533","01:10.5"
"29","scene-029.jpg","79.933","01:19.9"
"30","scene-030.jpg","84.367","01:24.3"
"31","scene-031.jpg","94.567","01:34.5"
"32","scene-032.jpg","96.6","01:36.6"
"33","scene-033.jpg","102.4","01:42.4"
"34","scene-034.jpg","108.4","01:48.4"
"35","scene-035.jpg","108.8","01:48.8"
"36","scene-036.jpg","114.767","01:54.7"
"37","scene-037.jpg","131.367","02:11.3"
"38","scene-038.jpg","138.3","02:18.3"
"39","scene-039.jpg","141.4","02:21.4"
"40","scene-040.jpg","144.5","02:24.5"
"41","scene-041.jpg","146.4","02:26.4"
"42","scene-042.jpg","158.3","02:38.3"
"43","scene-043.jpg","162.4","02:42.4"
"44","scene-044.jpg","190.733","03:10.7"
"45","scene-045.jpg","197.1","03:17.1"
"46","scene-046.jpg","197.167","03:17.1"
"47","scene-047.jpg","197.7","03:17.7"
"48","scene-048.jpg","263.633","04:23.6"
"49","scene-049.jpg","274.733","04:34.7"
"50","scene-050.jpg","276.1","04:36.1"
"51","scene-051.jpg","300.9","05:00.9"
"52","scene-052.jpg","302.167","05:02.1"
"53","scene-053.jpg","311.467","05:11.4"
"54","scene-054.jpg","327.467","05:27.4"
"55","scene-055.jpg","329.567","05:29.5"
"56","scene-056.jpg","331.067","05:31.0"
"57","scene-057.jpg","332.667","05:32.6"
"58","scene-058.jpg","335.7","05:35.7"
